Mass DM,SSHH,omega,SI 1,SI 2
169.0,0.0244,0.132,1.297e-09,7.269e-10
170.0,0.0245,0.132,1.294e-09,7.243e-10
171.0,0.0246,0.132,1.292e-09,7.218e-10
172.0,0.0248,0.132,1.295e-09,7.251e-10
173.0,0.0249,0.132,1.293e-09,7.226e-10
174.0,0.025,0.132,1.290e-09,7.201e-10
175.0,0.0251,0.132,1.288e-09,7.177e-10
176.0,0.0252,0.132,1.286e-09,7.152e-10
177.0,0.0253,0.132,1.284e-09,7.128e-10
178.0,0.0254,0.132,1.282e-09,7.105e-10
179.0,0.0254,0.132,1.274e-09,7.026e-10
180.0,0.0255,0.132,1.272e-09,7.003e-10
181.0,0.0256,0.132,1.270e-09,6.981e-10
182.0,0.0257,0.132,1.268e-09,6.959e-10
183.0,0.0258,0.132,1.266e-09,6.937e-10
184.0,0.0259,0.132,1.264e-09,6.916e-10
185.0,0.026,0.132,1.262e-09,6.894e-10
186.0,0.026,0.132,1.255e-09,6.821e-10
187.0,0.0261,0.132,1.254e-09,6.800e-10
188.0,0.0262,0.132,1.252e-09,6.780e-10
189.0,0.0263,0.132,1.250e-09,6.760e-10
190.0,0.0264,0.132,1.248e-09,6.741e-10
191.0,0.0265,0.132,1.246e-09,6.721e-10
192.0,0.0266,0.132,1.244e-09,6.702e-10
193.0,0.0267,0.132,1.242e-09,6.683e-10
194.0,0.0268,0.132,1.241e-09,6.664e-10
195.0,0.0269,0.132,1.239e-09,6.646e-10
196.0,0.027000000000000003,0.132,1.237e-09,6.628e-10
197.0,0.0271,0.132,1.235e-09,6.609e-10
198.0,0.0272,0.132,1.234e-09,6.592e-10
199.0,0.0273,0.132,1.232e-09,6.574e-10
200.0,0.03,0.11199999999999999,1.347e-09,7.860e-10
202.0,0.03,0.113,1.334e-09,7.706e-10
204.0,0.03,0.115,1.321e-09,7.556e-10
206.0,0.03,0.11699999999999999,1.308e-09,7.411e-10
208.0,0.03,0.11800000000000001,1.295e-09,7.269e-10
210.0,0.03,0.12,1.283e-09,7.132e-10
212.0,0.03,0.122,1.271e-09,6.999e-10
214.0,0.03,0.124,1.259e-09,6.869e-10
216.0,0.03,0.126,1.247e-09,6.743e-10
218.0,0.03,0.128,1.236e-09,6.620e-10
220.0,0.03,0.13,1.225e-09,6.501e-10
222.0,0.03,0.132,1.214e-09,6.385e-10
266.0,0.04,0.10800000000000001,1.351e-09,7.918e-10
268.0,0.04,0.11,1.340e-09,7.800e-10
270.0,0.04,0.11199999999999999,1.331e-09,7.685e-10
272.0,0.04,0.113,1.321e-09,7.573e-10
274.0,0.04,0.115,1.311e-09,7.463e-10
276.0,0.04,0.11699999999999999,1.302e-09,7.356e-10
278.0,0.04,0.11800000000000001,1.292e-09,7.251e-10
280.0,0.04,0.12,1.283e-09,7.148e-10
282.0,0.04,0.122,1.274e-09,7.047e-10
284.0,0.04,0.12300000000000001,1.265e-09,6.949e-10
286.0,0.04,0.125,1.256e-09,6.852e-10
288.0,0.04,0.127,1.247e-09,6.758e-10
290.0,0.04,0.129,1.239e-09,6.665e-10
292.0,0.04,0.131,1.230e-09,6.574e-10
294.0,0.04,0.132,1.222e-09,6.486e-10
328.0,0.05,0.109,1.369e-09,8.147e-10
330.0,0.05,0.11,1.361e-09,8.049e-10
332.0,0.05,0.111,1.353e-09,7.952e-10
334.0,0.05,0.113,1.345e-09,7.858e-10
336.0,0.05,0.114,1.337e-09,7.765e-10
338.0,0.05,0.11599999999999999,1.329e-09,7.673e-10
340.0,0.05,0.11699999999999999,1.321e-09,7.584e-10
342.0,0.05,0.11800000000000001,1.313e-09,7.495e-10
344.0,0.05,0.12,1.305e-09,7.409e-10
346.0,0.05,0.121,1.298e-09,7.324e-10
348.0,0.05,0.12300000000000001,1.290e-09,7.240e-10
350.0,0.05,0.124,1.283e-09,7.158e-10
352.0,0.05,0.126,1.276e-09,7.077e-10
354.0,0.05,0.127,1.269e-09,6.997e-10
356.0,0.05,0.129,1.261e-09,6.919e-10
358.0,0.05,0.13,1.254e-09,6.842e-10
360.0,0.05,0.132,1.247e-09,6.767e-10
386.0,0.06000000000000001,0.10800000000000001,1.396e-09,8.478e-10
388.0,0.06000000000000001,0.109,1.389e-09,8.391e-10
390.0,0.06000000000000001,0.11,1.382e-09,8.306e-10
392.0,0.06000000000000001,0.111,1.375e-09,8.221e-10
394.0,0.06000000000000001,0.11199999999999999,1.368e-09,8.138e-10
396.0,0.06000000000000001,0.113,1.361e-09,8.057e-10
398.0,0.06000000000000001,0.114,1.354e-09,7.976e-10
400.0,0.06000000000000001,0.11599999999999999,1.347e-09,7.897e-10
402.0,0.06000000000000001,0.11699999999999999,1.340e-09,7.818e-10
404.0,0.06000000000000001,0.11800000000000001,1.334e-09,7.741e-10
406.0,0.06000000000000001,0.11900000000000001,1.327e-09,7.665e-10
408.0,0.06000000000000001,0.12,1.321e-09,7.591e-10
410.0,0.06000000000000001,0.122,1.314e-09,7.517e-10
